title,price,rating,in_stock,category,url,source,scraped_at,price_category,rating_category,title_length,title_word_count,value_score
A Light in the Attic,51.77,3,1,Poetry,http://books.toscrape.com/catalogue/a-light-in-the-attic_1000/index.html,books_toscrape,2025-09-25 08:46:17.995852,High,Fair,20,5,0.05685048322910744
Tipping the Velvet,53.74,1,1,Historical Fiction,http://books.toscrape.com/catalogue/tipping-the-velvet_999/index.html,books_toscrape,2025-09-25 08:46:19.772346,High,Poor,18,3,0.01826817683595177
Soumission,50.1,1,1,Fiction,http://books.toscrape.com/catalogue/soumission_998/index.html,books_toscrape,2025-09-25 08:46:21.603903,High,Poor,10,1,0.019569471624266144
Sharp Objects,47.82,4,1,Mystery,http://books.toscrape.com/catalogue/sharp-objects_997/index.html,books_toscrape,2025-09-25 08:46:24.075692,Medium,Good,13,2,0.0819336337566571
Sapiens: A Brief History of Humankind,54.23,5,1,History,http://books.toscrape.com/catalogue/sapiens-a-brief-history-of-humankind_996/index.html,books_toscrape,2025-09-25 08:46:25.579978,High,Excellent,37,6,0.09053050878145935
The Requiem Red,22.65,1,1,Young Adult,http://books.toscrape.com/catalogue/the-requiem-red_995/index.html,books_toscrape,2025-09-25 08:46:27.673986,Low,Poor,15,3,0.042283298097251586
The Dirty Little Secrets of Getting Your Dream Job,33.34,4,1,Business,http://books.toscrape.com/catalogue/the-dirty-little-secrets-of-getting-your-dream-job_994/index.html,books_toscrape,2025-09-25 08:46:30.436732,Medium,Good,50,9,0.11648223645894
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",17.93,3,1,Default,http://books.toscrape.com/catalogue/the-coming-woman-a-novel-based-on-the-life-of-the-infamous-feminist-victoria-woodhull_993/index.html,books_toscrape,2025-09-25 08:46:33.669240,Low,Fair,87,15,0.15847860538827258
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,22.6,4,1,Default,http://books.toscrape.com/catalogue/the-boys-in-the-boat-nine-americans-and-their-epic-quest-for-gold-at-the-1936-berlin-olympics_992/index.html,books_toscrape,2025-09-25 08:46:36.559507,Low,Good,94,18,0.1694915254237288
The Black Maria,52.15,1,1,Poetry,http://books.toscrape.com/catalogue/the-black-maria_991/index.html,books_toscrape,2025-09-25 08:46:38.693411,High,Poor,15,3,0.018814675446848544
"Starving Hearts Triangular Trade Trilogy, 1",13.99,2,1,Default,http://books.toscrape.com/catalogue/starving-hearts-triangular-trade-trilogy-1_990/index.html,books_toscrape,2025-09-25 08:46:41.495705,Low,Poor,43,6,0.133422281521014
Shakespeares Sonnets,20.66,4,1,Poetry,http://books.toscrape.com/catalogue/shakespeares-sonnets_989/index.html,books_toscrape,2025-09-25 08:46:44.747762,Low,Good,20,2,0.18467220683287164
Set Me Free,17.46,5,1,Young Adult,http://books.toscrape.com/catalogue/set-me-free_988/index.html,books_toscrape,2025-09-25 08:46:47.174041,Low,Excellent,11,3,0.27085590465872156
Scott Pilgrims Precious Little Life Scott Pilgrim 1,52.29,5,1,Sequential Art,http://books.toscrape.com/catalogue/scott-pilgrims-precious-little-life-scott-pilgrim-1_987/index.html,books_toscrape,2025-09-25 08:46:50.124272,High,Excellent,51,8,0.09382623381497467
Rip it Up and Start Again,35.02,5,1,Music,http://books.toscrape.com/catalogue/rip-it-up-and-start-again_986/index.html,books_toscrape,2025-09-25 08:46:51.733884,Medium,Excellent,25,6,0.138811771238201
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",57.25,3,1,Music,http://books.toscrape.com/catalogue/our-band-could-be-your-life-scenes-from-the-american-indie-underground-1981-1991_985/index.html,books_toscrape,2025-09-25 08:46:53.509972,High,Fair,82,13,0.05150214592274678
Olio,23.88,1,1,Poetry,http://books.toscrape.com/catalogue/olio_984/index.html,books_toscrape,2025-09-25 08:46:54.889463,Low,Poor,4,1,0.04019292604501608
Mesaerion: The Best Science Fiction Stories 1800-1849,37.59,1,1,Science Fiction,http://books.toscrape.com/catalogue/mesaerion-the-best-science-fiction-stories-1800-1849_983/index.html,books_toscrape,2025-09-25 08:46:57.793127,Medium,Poor,53,7,0.025913449080072554
Libertarianism for Beginners,51.33,2,1,Politics,http://books.toscrape.com/catalogue/libertarianism-for-beginners_982/index.html,books_toscrape,2025-09-25 08:47:00.653277,High,Poor,28,3,0.0382189948404357
Its Only the Himalayas,45.17,2,1,Travel,http://books.toscrape.com/catalogue/its-only-the-himalayas_981/index.html,books_toscrape,2025-09-25 08:47:03.895306,Medium,Poor,22,4,0.04331817197314273
In Her Wake,12.84,1,1,Unknown,http://books.toscrape.com/in-her-wake_980/index.html,books_toscrape,2025-09-25 08:47:12.870565,Low,Poor,11,3,0.07225433526011561
How Music Works,37.32,2,1,Unknown,http://books.toscrape.com/how-music-works_979/index.html,books_toscrape,2025-09-25 08:47:19.594439,Medium,Poor,15,3,0.05219206680584551
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",30.52,3,1,Unknown,http://books.toscrape.com/foolproof-preserving-a-guide-to-small-batch-jams-jellies-pickles-condiments-and-more-a-foolproof-guide-to-making-small-batch-jams-jellies-pickles-condiments-and-more_978/index.html,books_toscrape,2025-09-25 08:47:27.344462,Medium,Fair,175,26,0.0951776649746193
Chase Me Paris Nights 2,25.27,5,1,Unknown,http://books.toscrape.com/chase-me-paris-nights-2_977/index.html,books_toscrape,2025-09-25 08:47:36.104809,Medium,Excellent,23,5,0.1903311762466692
Black Dust,34.53,5,1,Unknown,http://books.toscrape.com/black-dust_976/index.html,books_toscrape,2025-09-25 08:47:42.279362,Medium,Excellent,10,2,0.14072614691809737
Birdsong: A Story in Pictures,54.64,3,1,Unknown,http://books.toscrape.com/birdsong-a-story-in-pictures_975/index.html,books_toscrape,2025-09-25 08:47:50.099586,High,Fair,29,5,0.053918044572250176
Americas Cradle of Quarterbacks: Western Pennsylvanias Football Factory from Johnny Unitas to Joe Montana,22.5,3,1,Unknown,http://books.toscrape.com/americas-cradle-of-quarterbacks-western-pennsylvanias-football-factory-from-johnny-unitas-to-joe-montana_974/index.html,books_toscrape,2025-09-25 08:47:57.709131,Low,Fair,105,14,0.1276595744680851
Aladdin and His Wonderful Lamp,53.13,3,1,Unknown,http://books.toscrape.com/aladdin-and-his-wonderful-lamp_973/index.html,books_toscrape,2025-09-25 08:48:04.640567,High,Fair,30,5,0.05542213190467393
Worlds Elsewhere: Journeys Around Shakespeares Globe,40.3,5,1,Unknown,http://books.toscrape.com/worlds-elsewhere-journeys-around-shakespeares-globe_972/index.html,books_toscrape,2025-09-25 08:48:10.852165,Medium,Excellent,52,6,0.12106537530266345
Wall and Piece,44.18,4,1,Unknown,http://books.toscrape.com/wall-and-piece_971/index.html,books_toscrape,2025-09-25 08:48:18.146264,Medium,Good,14,3,0.08853474988933156
The Four Agreements: A Practical Guide to Personal Freedom,17.66,5,1,Unknown,http://books.toscrape.com/the-four-agreements-a-practical-guide-to-personal-freedom_970/index.html,books_toscrape,2025-09-25 08:48:24.481279,Low,Excellent,58,9,0.2679528403001072
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,31.05,3,1,Unknown,http://books.toscrape.com/the-five-love-languages-how-to-express-heartfelt-commitment-to-your-mate_969/index.html,books_toscrape,2025-09-25 08:48:30.059308,Medium,Fair,73,12,0.093603744149766
The Elephant Tree,23.82,5,1,Unknown,http://books.toscrape.com/the-elephant-tree_968/index.html,books_toscrape,2025-09-25 08:48:36.852954,Low,Excellent,17,3,0.20145044319097502
The Bear and the Piano,36.89,1,1,Unknown,http://books.toscrape.com/the-bear-and-the-piano_967/index.html,books_toscrape,2025-09-25 08:48:43.789355,Medium,Poor,22,5,0.026392187912377935
Sophies World,15.94,5,1,Unknown,http://books.toscrape.com/sophies-world_966/index.html,books_toscrape,2025-09-25 08:48:51.887253,Low,Excellent,13,2,0.295159386068477
Penny Maybe,33.29,3,1,Unknown,http://books.toscrape.com/penny-maybe_965/index.html,books_toscrape,2025-09-25 08:49:00.090959,Medium,Fair,11,2,0.08748906386701663
Maude 1883-1993:She Grew Up with the country,18.02,2,1,Unknown,http://books.toscrape.com/maude-1883-1993she-grew-up-with-the-country_964/index.html,books_toscrape,2025-09-25 08:49:06.439571,Low,Poor,44,7,0.10515247108307045
"In a Dark, Dark Wood",19.63,1,1,Unknown,http://books.toscrape.com/in-a-dark-dark-wood_963/index.html,books_toscrape,2025-09-25 08:49:13.381723,Low,Poor,20,5,0.048473097430925836
Behind Closed Doors,52.22,4,1,Unknown,http://books.toscrape.com/behind-closed-doors_962/index.html,books_toscrape,2025-09-25 08:49:20.797130,High,Good,19,3,0.0751597143930853
You cant bury them all: Poems,33.63,2,1,Unknown,http://books.toscrape.com/you-cant-bury-them-all-poems_961/index.html,books_toscrape,2025-09-25 08:49:28.055818,Medium,Poor,29,6,0.05775339301183944
Slow States of Collapse: Poems,57.31,3,1,Unknown,http://books.toscrape.com/slow-states-of-collapse-poems_960/index.html,books_toscrape,2025-09-25 08:49:38.930794,High,Fair,30,5,0.05144915108900703
Reasons to Stay Alive,26.41,2,1,Unknown,http://books.toscrape.com/reasons-to-stay-alive_959/index.html,books_toscrape,2025-09-25 08:49:45.507619,Medium,Poor,21,4,0.07296607077708865
Private Paris Private 10,47.61,5,1,Unknown,http://books.toscrape.com/private-paris-private-10_958/index.html,books_toscrape,2025-09-25 08:49:50.887941,Medium,Excellent,24,4,0.10285949393128986
HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,23.11,5,1,Unknown,http://books.toscrape.com/higherselfie-wake-up-your-life-free-your-soul-find-your-tribe_957/index.html,books_toscrape,2025-09-25 08:49:58.819243,Low,Excellent,65,11,0.20738282870178348
Without Borders Wanderlove 1,45.07,2,1,Unknown,http://books.toscrape.com/without-borders-wanderlove-1_956/index.html,books_toscrape,2025-09-25 08:50:05.315935,Medium,Poor,28,4,0.04341219882787063
When We Collided,31.77,1,1,Unknown,http://books.toscrape.com/when-we-collided_955/index.html,books_toscrape,2025-09-25 08:50:11.729352,Medium,Poor,16,3,0.03051571559353067
"We Love You, Charlie Freeman",50.27,5,1,Unknown,http://books.toscrape.com/we-love-you-charlie-freeman_954/index.html,books_toscrape,2025-09-25 08:50:18.914640,High,Excellent,28,5,0.09752291788570314
Untitled Collection: Sabbath Poems 2014,14.27,4,1,Unknown,http://books.toscrape.com/untitled-collection-sabbath-poems-2014_953/index.html,books_toscrape,2025-09-25 08:50:25.749774,Low,Good,39,5,0.26195153896529144
"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails  Other Wonders of the Urban Wilderness",44.18,4,1,Unknown,http://books.toscrape.com/unseen-city-the-majesty-of-pigeons-the-discreet-charm-of-snails-other-wonders-of-the-urban-wilderness_952/index.html,books_toscrape,2025-09-25 08:50:34.600786,Medium,Good,104,17,0.08853474988933156
Unicorn Tracks,18.78,3,1,Unknown,http://books.toscrape.com/unicorn-tracks_951/index.html,books_toscrape,2025-09-25 08:50:42.384732,Low,Fair,14,2,0.15166835187057634
"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",25.52,1,1,Unknown,http://books.toscrape.com/unbound-how-eight-technologies-made-us-human-transformed-society-and-brought-our-world-to-the-brink_950/index.html,books_toscrape,2025-09-25 08:50:49.992964,Medium,Poor,102,16,0.03770739064856712
Tsubasa: WoRLD CHRoNiCLE 2 Tsubasa WoRLD CHRoNiCLE 2,16.28,1,1,Unknown,http://books.toscrape.com/tsubasa-world-chronicle-2-tsubasa-world-chronicle-2_949/index.html,books_toscrape,2025-09-25 08:50:59.231711,Low,Poor,52,8,0.057870370370370364
Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,31.12,3,1,Unknown,http://books.toscrape.com/throwing-rocks-at-the-google-bus-how-growth-became-the-enemy-of-prosperity_948/index.html,books_toscrape,2025-09-25 08:51:08.095411,Medium,Fair,75,13,0.0933997509339975
This One Summer,19.49,4,1,Unknown,http://books.toscrape.com/this-one-summer_947/index.html,books_toscrape,2025-09-25 08:51:14.724261,Low,Good,15,3,0.19521717911176184
Thirst,17.27,5,1,Unknown,http://books.toscrape.com/thirst_946/index.html,books_toscrape,2025-09-25 08:51:21.873289,Low,Excellent,6,1,0.27367268746579093
The Torch Is Passed: A Harding Family Story,19.09,1,1,Unknown,http://books.toscrape.com/the-torch-is-passed-a-harding-family-story_945/index.html,books_toscrape,2025-09-25 08:51:27.335382,Low,Poor,43,8,0.049776007964161276
The Secret of Dreadwillow Carse,56.13,1,1,Unknown,http://books.toscrape.com/the-secret-of-dreadwillow-carse_944/index.html,books_toscrape,2025-09-25 08:51:33.312088,High,Poor,31,5,0.01750393838613688
"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",56.41,1,1,Unknown,http://books.toscrape.com/the-pioneer-woman-cooks-dinnertime-comfort-classics-freezer-food-16-minute-meals-and-other-delicious-ways-to-solve-supper_943/index.html,books_toscrape,2025-09-25 08:51:40.625099,High,Poor,127,18,0.01741856819369448
The Past Never Ends,56.5,4,1,Unknown,http://books.toscrape.com/the-past-never-ends_942/index.html,books_toscrape,2025-09-25 08:51:49.526820,High,Good,19,4,0.06956521739130435
The Natural History of Us The Fine Art of Pretending 2,45.22,3,1,Unknown,http://books.toscrape.com/the-natural-history-of-us-the-fine-art-of-pretending-2_941/index.html,books_toscrape,2025-09-25 08:51:55.338853,Medium,Fair,54,11,0.06490696668109044
The Nameless City The Nameless City 1,38.16,4,1,Unknown,http://books.toscrape.com/the-nameless-city-the-nameless-city-1_940/index.html,books_toscrape,2025-09-25 08:52:05.653210,Medium,Good,37,7,0.10214504596527069
The Murder That Never Was Forensic Instincts 5,54.11,3,1,Unknown,http://books.toscrape.com/the-murder-that-never-was-forensic-instincts-5_939/index.html,books_toscrape,2025-09-25 08:52:12.533415,High,Fair,46,8,0.05443658138268917
The Most Perfect Thing: Inside and Outside a Birds Egg,42.96,4,1,Unknown,http://books.toscrape.com/the-most-perfect-thing-inside-and-outside-a-birds-egg_938/index.html,books_toscrape,2025-09-25 08:52:19.684193,Medium,Good,54,10,0.09099181073703366
"The Mindfulness and Acceptance Workbook for Anxiety: A Guide to Breaking Free from Anxiety, Phobias, and Worry Using Acceptance and Commitment Therapy",23.89,4,1,Unknown,http://books.toscrape.com/the-mindfulness-and-acceptance-workbook-for-anxiety-a-guide-to-breaking-free-from-anxiety-phobias-and-worry-using-acceptance-and-commitment-therapy_937/index.html,books_toscrape,2025-09-25 08:52:26.728319,Low,Good,150,22,0.16070711128967458
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,16.77,3,1,Unknown,http://books.toscrape.com/the-life-changing-magic-of-tidying-up-the-japanese-art-of-decluttering-and-organizing_936/index.html,books_toscrape,2025-09-25 08:52:34.633986,Low,Fair,86,13,0.16882386043894204
"The Inefficiency Assassin: Time Management Tactics for Working Smarter, Not Longer",20.59,5,1,Unknown,http://books.toscrape.com/the-inefficiency-assassin-time-management-tactics-for-working-smarter-not-longer_935/index.html,books_toscrape,2025-09-25 08:52:40.124441,Low,Excellent,82,11,0.2315886984715146
The Gutsy Girl: Escapades for Your Life of Epic Adventure,37.13,1,1,Unknown,http://books.toscrape.com/the-gutsy-girl-escapades-for-your-life-of-epic-adventure_934/index.html,books_toscrape,2025-09-25 08:52:44.761768,Medium,Poor,57,10,0.026226068712300023
The Electric Pencil: Drawings from Inside State Hospital No. 3,56.06,1,1,Unknown,http://books.toscrape.com/the-electric-pencil-drawings-from-inside-state-hospital-no-3_933/index.html,books_toscrape,2025-09-25 08:52:49.466884,High,Poor,62,10,0.01752541184717841
The Death of Humanity: and the Case for Life,58.0803,4,1,Unknown,http://books.toscrape.com/the-death-of-humanity-and-the-case-for-life_932/index.html,books_toscrape,2025-09-25 08:52:55.792163,High,Good,44,9,0.06770446324747843
"The Bulletproof Diet: Lose up to a Pound a Day, Reclaim Energy and Focus, Upgrade Your Life",49.05,3,1,Unknown,http://books.toscrape.com/the-bulletproof-diet-lose-up-to-a-pound-a-day-reclaim-energy-and-focus-upgrade-your-life_931/index.html,books_toscrape,2025-09-25 08:53:03.399263,Medium,Fair,91,17,0.059940059940059943
The Art Forger,40.76,3,1,Unknown,http://books.toscrape.com/the-art-forger_930/index.html,books_toscrape,2025-09-25 08:53:10.089096,Medium,Fair,14,3,0.07183908045977012
The Age of Genius: The Seventeenth Century and the Birth of the Modern Mind,19.73,1,1,Unknown,http://books.toscrape.com/the-age-of-genius-the-seventeenth-century-and-the-birth-of-the-modern-mind_929/index.html,books_toscrape,2025-09-25 08:53:18.002093,Low,Poor,75,14,0.048239266763145196
The Activists Tao Te Ching: Ancient Advice for a Modern Revolution,32.24,5,1,Unknown,http://books.toscrape.com/the-activists-tao-te-ching-ancient-advice-for-a-modern-revolution_928/index.html,books_toscrape,2025-09-25 08:53:23.980297,Medium,Excellent,66,11,0.1504211793020457
Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up,41.83,4,1,Unknown,http://books.toscrape.com/spark-joy-an-illustrated-master-class-on-the-art-of-organizing-and-tidying-up_927/index.html,books_toscrape,2025-09-25 08:53:29.434071,Medium,Good,78,14,0.09339248190520663
Soul Reader,39.58,2,1,Unknown,http://books.toscrape.com/soul-reader_926/index.html,books_toscrape,2025-09-25 08:53:36.424521,Medium,Poor,11,2,0.04928536224741252
Security,39.25,2,1,Unknown,http://books.toscrape.com/security_925/index.html,books_toscrape,2025-09-25 08:53:44.263649,Medium,Poor,8,1,0.049689440993788817
"Saga, Volume 6 Saga Collected Editions 6",25.02,3,1,Unknown,http://books.toscrape.com/saga-volume-6-saga-collected-editions-6_924/index.html,books_toscrape,2025-09-25 08:53:51.127662,Medium,Fair,40,7,0.11529592621060723
"Saga, Volume 5 Saga Collected Editions 5",51.04,2,1,Unknown,http://books.toscrape.com/saga-volume-5-saga-collected-editions-5_923/index.html,books_toscrape,2025-09-25 08:53:57.276641,High,Poor,40,7,0.03843197540353574
Reskilling America: Learning to Labor in the Twenty-First Century,19.83,2,1,Unknown,http://books.toscrape.com/reskilling-america-learning-to-labor-in-the-twenty-first-century_922/index.html,books_toscrape,2025-09-25 08:54:01.882278,Low,Poor,65,9,0.09601536245799329
"Rat Queens, Vol. 3: Demons Rat Queens Collected Editions 11-15",50.4,3,1,Unknown,http://books.toscrape.com/rat-queens-vol-3-demons-rat-queens-collected-editions-11-15_921/index.html,books_toscrape,2025-09-25 08:54:08.989048,High,Fair,62,10,0.058365758754863814
"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 Princess Jellyfish 2-in-1 Omnibus 1",13.61,5,1,Unknown,http://books.toscrape.com/princess-jellyfish-2-in-1-omnibus-vol-01-princess-jellyfish-2-in-1-omnibus-1_920/index.html,books_toscrape,2025-09-25 08:54:18.877503,Low,Excellent,78,11,0.3422313483915127
Princess Between Worlds Wide-Awake Princess 5,13.34,5,1,Unknown,http://books.toscrape.com/princess-between-worlds-wide-awake-princess-5_919/index.html,books_toscrape,2025-09-25 08:54:24.749589,Low,Excellent,45,6,0.3486750348675035
"Pop Gun War, Volume 1: Gift",18.97,1,1,Unknown,http://books.toscrape.com/pop-gun-war-volume-1-gift_918/index.html,books_toscrape,2025-09-25 08:54:31.815114,Low,Poor,27,6,0.05007511266900351
"Political Suicide: Missteps, Peccadilloes, Bad Calls, Backroom Hijinx, Sordid Pasts, Rotten Breaks, and Just Plain Dumb Mistakes in the Annals of American Politics",36.28,2,1,Unknown,http://books.toscrape.com/political-suicide-missteps-peccadilloes-bad-calls-backroom-hijinx-sordid-pasts-rotten-breaks-and-just-plain-dumb-mistakes-in-the-annals-of-american-politics_917/index.html,books_toscrape,2025-09-25 08:54:39.988652,Medium,Poor,163,23,0.0536480686695279
Patience,10.16,3,1,Unknown,http://books.toscrape.com/patience_916/index.html,books_toscrape,2025-09-25 08:54:46.720199,Low,Fair,8,1,0.26881720430107525
"Outcast, Vol. 1: A Darkness Surrounds Him Outcast 1",15.44,4,1,Unknown,http://books.toscrape.com/outcast-vol-1-a-darkness-surrounds-him-outcast-1_915/index.html,books_toscrape,2025-09-25 08:54:53.915378,Low,Good,51,9,0.24330900243309006
orange: The Complete Collection 1 orange: The Complete Collection 1,48.41,1,1,Unknown,http://books.toscrape.com/orange-the-complete-collection-1-orange-the-complete-collection-1_914/index.html,books_toscrape,2025-09-25 08:55:00.945646,Medium,Poor,67,10,0.020238818053025704
Online Marketing for Busy Authors: A Step-By-Step Guide,46.35,1,1,Unknown,http://books.toscrape.com/online-marketing-for-busy-authors-a-step-by-step-guide_913/index.html,books_toscrape,2025-09-25 08:55:06.010885,Medium,Poor,55,8,0.021119324181626188
On a Midnight Clear,14.07,3,1,Unknown,http://books.toscrape.com/on-a-midnight-clear_912/index.html,books_toscrape,2025-09-25 08:55:14.000277,Low,Fair,19,4,0.19907100199071
Obsidian Lux 1,14.86,2,1,Unknown,http://books.toscrape.com/obsidian-lux-1_911/index.html,books_toscrape,2025-09-25 08:55:21.781084,Low,Poor,14,3,0.12610340479192939
My Paris Kitchen: Recipes and Stories,33.37,2,1,Unknown,http://books.toscrape.com/my-paris-kitchen-recipes-and-stories_910/index.html,books_toscrape,2025-09-25 08:55:28.469301,Medium,Poor,37,6,0.05819028222286878
Masks and Shadows,56.4,2,1,Unknown,http://books.toscrape.com/masks-and-shadows_909/index.html,books_toscrape,2025-09-25 08:55:33.732425,High,Poor,17,3,0.03484320557491289
"Mama Tried: Traditional Italian Cooking for the Screwed, Crude, Vegan, and Tattooed",14.02,4,1,Unknown,http://books.toscrape.com/mama-tried-traditional-italian-cooking-for-the-screwed-crude-vegan-and-tattooed_908/index.html,books_toscrape,2025-09-25 08:55:40.731680,Low,Good,83,12,0.2663115845539281
"Lumberjanes, Vol. 2: Friendship to the Max Lumberjanes 5-8",46.91,2,1,Unknown,http://books.toscrape.com/lumberjanes-vol-2-friendship-to-the-max-lumberjanes-5-8_907/index.html,books_toscrape,2025-09-25 08:55:49.210064,Medium,Poor,58,9,0.04174493842621582
"Lumberjanes, Vol. 1: Beware the Kitten Holy Lumberjanes 1-4",45.61,3,1,Unknown,http://books.toscrape.com/lumberjanes-vol-1-beware-the-kitten-holy-lumberjanes-1-4_906/index.html,books_toscrape,2025-09-25 08:55:55.948437,Medium,Fair,59,9,0.06436387041407424
Lumberjanes Vol. 3: A Terrible Plan Lumberjanes 9-12,19.92,2,1,Unknown,http://books.toscrape.com/lumberjanes-vol-3-a-terrible-plan-lumberjanes-9-12_905/index.html,books_toscrape,2025-09-25 08:56:02.594335,Low,Poor,52,8,0.09560229445506692
"Layered: Baking, Building, and Styling Spectacular Cakes",40.11,1,1,Unknown,http://books.toscrape.com/layered-baking-building-and-styling-spectacular-cakes_904/index.html,books_toscrape,2025-09-25 08:56:10.362424,Medium,Poor,56,7,0.024324981756263683
